,plot,slope,inter,sd,rep,site,r2,RIL
63,117,0.268614705,-2.275953976,0.728281345,P1,1,0.861575903,RIJC035
64,118,0.376846905,-5.200653397,0.95068743,P2,1,0.995145879,RIJC030
65,118,0.25908628,-2.536373279,0.657765207,P1,1,0.982605934,RIJC030
66,118,0.336193524,-3.785752192,0.8521575,P3,1,0.985760226,RIJC030
67,119,0.289272765,-3.190607957,0.757126269,P2,1,0.924508293,RIJC021
68,119,0.240148032,-2.247154174,0.605137939,P1,1,0.997428209,RIJC021
69,119,0.154126704,-0.37321837,0.387914937,P3,1,0.999804579,RIJC021
70,12,0.323102748,-3.907026882,0.97020397,P2,1,0.99815438,RIJC025
71,12,0.383690916,-4.397149047,1.159357537,P3,1,0.98575903,RIJC025
72,12,0.209871512,-1.795452225,0.629628819,P1,1,0.999954627,RIJC025
73,120,0.267881522,-2.299966717,0.778947788,P2,1,0.749033367,RIJC144
74,120,0.274711722,-2.560000927,0.701687751,P3,1,0.970731085,RIJC144
75,120,0.294625275,-3.01096706,0.751089494,P1,1,0.974515999,RIJC144
76,121,0.381738082,-4.26528544,1.151714793,P2,1,0.988743389,RIJC205
77,121,0.517924707,-6.787558037,1.569336648,P1,1,0.980265082,RIJC205
78,121,0.322535777,-3.017910264,0.967719695,P3,1,0.999767791,RIJC205
79,122,0.385485419,-5.402903345,1.17964659,P3,1,0.96106904,RIJC313
80,122,0.515805195,-8.058918509,1.56954732,P2,1,0.971997405,RIJC313
81,122,0.30175099,-3.306819296,0.906677995,P1,1,0.996859069,RIJC313
82,123,0.276218039,-2.758150107,0.833608863,P1,1,0.988147866,RIJC141
83,123,0.143062877,-0.095436697,0.557269972,P3,1,0.593150821,RIJC141
84,123,0.27315282,-2.857068078,0.821116096,P2,1,0.995966556,RIJC141
85,124,0.430106024,-5.78035192,1.290648093,P3,1,0.999488663,RIJC368
86,124,0.284445863,-1.76570763,0.945718118,P1,1,0.814176072,RIJC368
87,124,0.220555856,-1.428349939,0.671059419,P2,1,0.972204761,RIJC368
88,126,0.162338691,-0.639588874,1.590825498,P3,1,0.09372199,JAM
89,126,0.350603549,-4.479918375,1.259446305,P1,1,0.697454388,JAM
90,126,0.360683557,-4.589466514,1.085730778,P2,1,0.993232444,JAM
91,127,0.329504182,-3.689938528,0.993206923,P1,1,0.990569373,RIJC046
92,127,0.293814133,-2.659819798,0.881527595,P3,1,0.999806714,RIJC046
93,127,0.315716587,-3.222703062,0.948257399,P2,1,0.997665213,RIJC046
94,128,0.246453935,-2.331784242,0.740588374,P1,1,0.996690324,RIJC066
95,128,0.344643433,-3.55632125,1.034438458,P3,1,0.999017757,RIJC066
96,128,0.264942328,-2.342777042,0.796423052,P2,1,0.995995922,RIJC066
97,129,0.227600877,-2.147421777,0.683852648,P3,1,0.996931473,RIJC234
98,129,0.223495088,-1.997265441,0.670573803,P1,1,0.999735951,RIJC234
99,129,0.26808951,-2.302596423,0.80662547,P2,1,0.994164586,RIJC234
100,13,0.427100693,-4.609022161,1.281940966,P3,1,0.999003497,RIJC220
101,13,0.322008025,-2.951261775,0.967216081,P1,1,0.997536699,RIJC220
102,13,0.244457328,-1.106814369,0.751692666,P2,1,0.951848883,RIJC220
103,131,0.369906871,-4.472282398,1.111315062,P1,1,0.997132578,RIJC027
104,131,0.367762998,-4.34691503,1.105355389,P3,1,0.996264618,RIJC027
105,131,0.3652484,-4.622656161,1.104482191,P2,1,0.984241602,RIJC027
106,132,0.174070353,-0.62853039,0.652406041,P1,1,0.640702152,RIJC254
107,132,-0.008419416,2.859358143,0.102555976,P3,1,0.060657501,RIJC254
108,132,0.228123883,-2.633315958,0.688418662,P2,1,0.98827714,RIJC254
109,133,0.163219989,-0.421497104,0.517044948,P3,1,0.896876405,RIJC080
110,133,0.279754014,-2.757823723,0.843954564,P1,1,0.988910595,RIJC080
111,133,0.310357736,-2.957724511,1.005856427,P2,1,0.856831984,RIJC080
112,134,0.280969196,-2.630770023,0.842976768,P3,1,0.999835873,RIJC240
113,134,0.353127022,-3.819567615,1.060242311,P1,1,0.998376042,RIJC240
114,134,0.334282126,-3.454720554,1.082829225,P2,1,0.857726609,RIJC240
115,135,0.327567731,-4.694209843,0.992213152,P1,1,0.980922677,RIJC326
116,135,0.272850874,-2.994289167,0.821880791,P3,1,0.991917488,RIJC326
117,135,0.262558299,-2.845874875,0.788413138,P2,1,0.99812815,RIJC326
118,136,0.342826084,-2.974422309,1.030304712,P2,1,0.996457664,TM4
119,136,0.389194427,-4.410706404,1.170864099,P3,1,0.994403754,TM4
120,136,0.327713154,-2.86248361,0.983217475,P1,1,0.999841314,TM4
121,137,0.356957169,-3.366808877,1.076662256,P1,1,0.989272072,RIJC073
122,137,0.373443863,-4.343733402,1.12130704,P2,1,0.998260912,RIJC073
123,137,0.388800579,-4.451427646,1.166445914,P3,1,0.999924257,RIJC073
124,138,0.332267398,-3.524252503,0.996994254,P3,1,0.999614758,RIJC048
125,138,0.264432298,-2.408696056,0.793354228,P1,1,0.999855469,RIJC048
126,138,0.096050745,0.995813253,0.378918121,P2,1,0.578300057,RIJC048
127,139,0.294436265,-2.757999034,0.884563435,P3,1,0.997165268,TM3
128,139,0.48304156,-6.242380574,1.46777017,P2,1,0.974754821,TM3
129,139,0.360206999,-3.440209136,1.084422564,P1,1,0.993001059,TM3
130,14,0.367161456,-3.644445571,1.103762719,P2,1,0.995875926,TM4
131,14,0.348657072,-3.427522799,1.050712139,P3,1,0.990996147,TM4
132,14,0.345394976,-3.391635873,1.036395512,P1,1,0.999593666,TM4
133,140,0.317870984,-3.23613953,1.005959982,P1,1,0.898634056,RIJC212
134,140,0.429214656,-5.588984738,1.301740188,P2,1,0.978459758,RIJC212
135,140,0.281954207,-2.562199236,0.848978285,P3,1,0.992673673,RIJC212
136,141,0.36322274,-4.123485484,1.093221879,P3,1,0.993509305,RIJC146
137,141,0.383890572,-4.838267191,1.151888126,P1,1,0.999624287,RIJC146
138,141,0.294434157,-3.599003638,0.884193862,P2,1,0.997984739,RIJC146
139,142,0.23393267,-1.299881691,0.707257037,P3,1,0.984622394,CAL
140,142,0.267212327,-2.523980384,0.80278349,P2,1,0.997145708,CAL
141,142,0.226680221,-1.043569694,0.685780755,P1,1,0.983329751,CAL
142,143,0.318603661,-3.411216938,0.972590068,P2,1,0.965793712,RIJC070
143,143,0.30665223,-3.395852206,0.922468578,P3,1,0.994561401,RIJC070
144,143,0.229055091,-1.763610195,0.757633726,P1,1,0.822628605,RIJC070
145,144,0.339590271,-3.833351938,1.025335887,P1,1,0.98723529,RIJC082
146,144,0.272667205,-2.617300452,0.848117232,P2,1,0.930243293,RIJC082
147,144,0.330120928,-4.028030905,1.005308292,P3,1,0.970487831,RIJC082
148,145,0.277501919,-2.723298234,0.835106388,P3,1,0.993781435,RIJC260
149,145,0.253448725,-2.046707204,0.773008677,P1,1,0.967506728,RIJC260
150,145,0.279692968,-2.734467983,0.843789864,P2,1,0.988864977,RIJC260
151,146,0.320924561,-3.619673971,0.963945957,P3,1,0.997569235,RIJC071
152,146,0.298999713,-3.544575859,0.900520266,P2,1,0.992195083,RIJC071
153,146,0.346364677,-3.714886128,1.04534753,P1,1,0.988071347,RIJC071
154,147,0.333333333,-3.835715348,1.026405517,P2,1,0.949209431,RIJC045
155,147,0.379591478,-5.446193968,1.153263623,P3,1,0.975030564,RIJC045
156,147,1.350608486,-24.222178,4.418352153,P1,1,0.84097058,RIJC045
157,148,0.319845316,-3.915768058,0.962475196,P1,1,0.99390164,RIJC047
158,148,0.28878256,-3.03045048,0.881806337,P2,1,0.965245984,RIJC047
159,148,0.294393777,-2.47834249,0.894050437,P3,1,0.975833491,RIJC047
160,149,0.285903931,-2.238441667,0.859842421,P3,1,0.995050279,RIJC233
161,149,0.306177841,-3.11324838,0.918602777,P1,1,0.999849224,RIJC233
162,149,0.282613123,-2.649826423,0.852506515,P2,1,0.989080739,RIJC233
163,15,0.357448801,-4.751036818,1.07916656,P3,1,0.987400267,RIJC079
164,15,0.328272457,-3.968717957,0.997183325,P2,1,0.975352014,RIJC079
165,15,0.310431761,-3.080986425,0.944270697,P1,1,0.972706414,RIJC079
166,150,0.468302809,-7.305113794,1.444871506,P2,1,0.945447856,RIJC373
167,150,0.454969972,-6.966024199,1.41417053,P1,1,0.93154623,RIJC373
168,150,0.261836003,-2.112718963,0.785509451,P3,1,0.999996332,RIJC373
169,151,-0.056290225,4.7210081,0.554188141,P2,1,0.09285259,RIJC348
170,151,0.07341892,2.095498766,0.634360359,P1,1,0.120555332,RIJC348
171,151,0.072658001,1.559789557,0.222748366,P3,1,0.957591645,RIJC348
172,152,0.352824006,-4.067778812,1.170292612,P1,1,0.818031141,RIJC347
173,152,0.347994339,-3.170842983,1.045872376,P2,1,0.996390278,RIJC347
174,152,0.371466142,-3.592582884,1.114814129,P3,1,0.999254359,RIJC347
175,153,0.25115006,-2.228274688,0.753627192,P1,1,0.999530291,RIJC352
176,153,0.284561291,-3.155174993,0.854155337,P2,1,0.998896377,RIJC352
177,153,0.421986444,-5.816699604,1.284668298,P3,1,0.971085554,RIJC352
178,154,0.157917797,-0.110646766,0.488137885,P2,1,0.941932171,RIJC078
179,154,0.100960134,1.215428274,0.318274761,P1,1,0.905603198,RIJC078
180,154,0.099084461,0.636110253,0.35571418,P3,1,0.698314811,RIJC078
181,155,0.281697556,-2.823536018,0.864003814,P2,1,0.956703466,RIJC374
182,155,0.296913987,-3.061629492,0.8907556,P1,1,0.999969376,RIJC374
183,155,0.331313271,-3.90691525,0.99755683,P3,1,0.992761395,RIJC374
184,156,0.322410397,-3.380632962,0.971517653,P1,1,0.991195205,RIJC004
185,156,0.29303904,-3.014424869,0.87976711,P2,1,0.998522901,RIJC004
186,156,0.319652325,-3.537162633,1.004604058,P3,1,0.911188831,RIJC004
187,157,0.343221702,-3.441956432,1.030849162,P1,1,0.997704078,RIJC002
188,157,0.286139878,-3.21320837,0.859450542,P2,1,0.997602443,RIJC002
189,157,0.207547417,-1.13364863,0.65581314,P3,1,0.901398743,RIJC002
190,158,0.376703319,-4.916118722,1.150813342,P2,1,0.96434321,RIJC142
191,158,0.2576126,-2.386895367,0.845399092,P1,1,0.835705299,RIJC142
192,158,0.3439003,-3.673162871,1.033917175,P3,1,0.995717452,RIJC142
193,159,0.210536528,-0.467598259,0.636746554,P2,1,0.983930025,CAL
194,159,0.433982169,-5.168821365,1.335175416,P1,1,0.950844782,CAL
195,159,0.252503067,-1.070940316,0.757510467,P3,1,0.999996654,CAL
196,16,0.167454436,-0.793209957,0.5111892,P1,1,0.965767271,RIJC217
197,16,0.286715644,-2.444855398,0.862030049,P2,1,0.995635743,RIJC217
198,16,0.272987964,-1.896315806,0.825374899,P3,1,0.984525559,RIJC217
199,160,0.233923694,-1.923418912,0.704827748,P3,1,0.991345293,RIJC236
200,160,0.372180888,-4.225829539,1.118878813,P2,1,0.995828485,RIJC236
201,160,0.300377509,-3.059504689,0.90789277,P1,1,0.985163283,RIJC236
202,161,0.43430668,-4.945044074,1.304123182,P3,1,0.998155714,RIJC065
203,161,0.399270592,-4.280296027,1.205941508,P1,1,0.986562648,RIJC065
204,161,0.390094765,-4.107254553,1.171444843,P2,1,0.998019588,RIJC065
205,162,0.270711379,-2.24982316,0.814998617,P1,1,0.992982944,RIJC005
206,162,0.277421259,-2.314806476,0.836476837,P3,1,0.989952022,RIJC005
207,162,0.296435896,-2.887700904,0.915729207,P2,1,0.943126527,RIJC005
208,163,0.219713607,-0.760703478,0.66620384,P3,1,0.978908618,TM1
209,163,0.222989886,-0.440975543,0.881040627,P1,1,0.576528749,TM1
210,163,0.072272084,1.87977164,0.216880534,P2,1,0.999407316,TM1
211,164,0.234621499,-2.082584185,0.705078623,P1,1,0.996559024,RIJC021
212,164,0.242803974,-2.43299355,0.729360984,P3,1,0.997399245,RIJC021
213,164,0.229254871,-2.295573274,0.688232695,P2,1,0.998640215,RIJC021
214,165,0.359701004,-4.507381618,1.083217434,P3,1,0.992417757,RIJC319
215,165,0.382334375,-4.149941172,1.14839745,P1,1,0.997573178,RIJC319
216,165,0.394116006,-4.316860878,1.185521311,P2,1,0.994653749,RIJC319
217,166,0.259463744,-2.077535737,0.782087074,P1,1,0.990571106,RIJC018
218,166,0.351265809,-3.977224261,1.057577228,P3,1,0.992864733,RIJC018
219,166,0.201850487,-0.389826676,0.607323707,P2,1,0.994172269,RIJC018
220,167,0.360853487,-3.71960546,1.171890211,P3,1,0.853356435,RIJC225
221,167,0.27041364,-1.811024071,0.826652863,P1,1,0.963060007,RIJC225
222,167,0.388206249,-4.523938441,1.176309067,P2,1,0.980222495,RIJC225
223,169,0.446189663,-5.509052312,1.340508519,P1,1,0.997108368,RIJC314
224,169,0.220895715,-2.135999232,0.662731002,P3,1,0.999867652,RIJC314
225,169,0.38082925,-4.499690684,1.143279053,P2,1,0.998616212,RIJC314
226,17,0.260826319,-2.274031779,0.791436912,P3,1,0.977490915,RIJC337
227,17,0.335850739,-3.616001338,1.008377348,P1,1,0.998364114,RIJC337
228,17,0.27348531,-2.658738704,0.821157039,P2,1,0.998293113,RIJC337
229,170,0.261922631,-1.373706256,0.814424363,P1,1,0.930865739,RIJC069
230,170,0.380647602,-3.68437415,1.142161501,P3,1,0.999617086,RIJC069
231,170,0.331440373,-2.646495547,0.996532178,P2,1,0.995567414,RIJC069
232,171,0.107296753,0.81152935,0.32849668,P3,1,0.960182316,RIJC049
233,171,0.149302143,0.129226001,0.562502965,P1,1,0.634052123,RIJC049
234,171,0.323913879,-3.715566671,0.971951368,P2,1,0.999568479,RIJC049
235,172,0.31525144,-3.208879792,0.948402325,P1,1,0.994423659,RIJC372
236,172,0.276657287,-2.459386534,0.830247212,P3,1,0.999336813,RIJC372
237,172,0.304276296,-2.50076858,0.921511603,P2,1,0.981244277,RIJC372
238,173,0.404168612,-4.651773108,1.217261908,P1,1,0.992200886,RIJC076
239,173,0.261689851,-2.686764299,0.789417929,P2,1,0.989013673,RIJC076
240,173,0.344072034,-4.491855151,1.032216122,P3,1,0.999999958,RIJC076
241,174,0.380694935,-4.165838534,1.146722258,P2,1,0.991928164,RIJC248
242,174,0.405294621,-4.779301985,1.215893583,P1,1,0.999984012,RIJC248
243,174,0.249024256,-2.035876204,0.787659091,P3,1,0.899599552,RIJC248
244,175,0.35658306,-4.007620666,1.070173603,P2,1,0.999206973,RIJC016
245,175,0.326318145,-3.244582485,0.97942905,P3,1,0.999031066,RIJC016
246,175,0.383920875,-5.163948803,1.159763145,P1,1,0.986250771,RIJC016
247,176,0.344203443,-3.253310807,1.05352551,P3,1,0.960689,RIJC214
248,176,0.064252848,2.14008321,0.198082906,P1,1,0.946963584,RIJC214
249,176,0.385167736,-4.233475179,1.159856577,P2,1,0.992507352,RIJC214
250,177,0.211884375,-1.93200013,0.639928162,P2,1,0.986683637,RIJC140
251,177,0.310536469,-3.199641309,0.932714449,P3,1,0.997631884,RIJC140
252,177,0.210278463,-1.875853388,0.631371463,P1,1,0.998302594,RIJC140
253,178,0.293332299,-2.799657844,0.8805393,P3,1,0.998768399,RIJC001
254,178,0.332110001,-3.597737643,0.999066056,P1,1,0.994530279,RIJC001
255,178,0.266991457,-2.618873842,0.801388119,P2,1,0.998967691,RIJC001
256,179,0.396365014,-4.307232203,1.193294225,P2,1,0.992974415,TM7
257,179,0.388307233,-3.847227617,1.168438088,P3,1,0.993990098,TM7
258,179,0.376938434,-3.948920469,1.138246519,P1,1,0.986985315,TM7
259,18,0.180050285,-0.557861335,0.555457414,P3,1,0.945646018,RIJC250
260,18,0.169403102,-0.186169571,0.518594793,P1,1,0.960348631,RIJC250
261,18,0.2890133,-2.995287948,0.871470358,P2,1,0.989858069,RIJC250
262,180,0.380845069,-3.818702591,1.14464135,P2,1,0.996323379,TM9
263,180,0.364929061,-3.945897584,1.099080431,P3,1,0.992202823,TM9
264,180,0.383021506,-4.169093867,1.18788865,P1,1,0.935701579,TM9
265,181,0.310656966,-2.437859971,0.934293667,P3,1,0.995033935,RIJC244
266,181,0.393465478,-3.981194057,1.18039891,P1,1,0.999995803,RIJC244
267,181,0.394608236,-5.020263947,1.203078163,P2,1,0.968249123,RIJC244
268,182,0.305604704,-2.637423259,0.922793279,P2,1,0.987083137,TM10
269,182,0.327763881,-2.710962066,0.994561167,P3,1,0.97746609,TM10
270,182,0.48346567,-5.820107912,1.518753702,P1,1,0.912008931,TM10
271,183,0.351540881,-4.253527309,1.060936439,P3,1,0.988133109,RIJC344
272,183,0.34350649,-3.711229749,1.031158807,P1,1,0.998760348,RIJC344
273,183,0.36437618,-4.056319833,1.109580396,P2,1,0.97056565,RIJC344
274,184,0.477841121,-6.065244378,1.435696566,P2,1,0.996974907,RIJC238
275,184,0.298474525,-2.546363146,0.897580284,P3,1,0.995200165,RIJC238
276,184,0.357030163,-4.042047326,1.072227633,P1,1,0.997880039,RIJC238
277,185,0.434619063,-5.081725799,1.304849578,P3,1,0.9984795,TM2
278,185,0.415675733,-4.964037003,1.259414016,P1,1,0.980425971,TM2
279,185,0.48080738,-6.287294068,1.479840132,P2,1,0.950069023,TM2
280,186,0.225417386,-2.151246917,0.680009426,P1,1,0.988979891,RIJC251
281,186,0.175541827,-1.510625753,0.533970404,P3,1,0.97267861,RIJC251
282,186,0.25657259,-2.842328893,0.769994013,P2,1,0.999282605,RIJC251
283,187,0.182146438,-0.794713236,0.560583932,P1,1,0.950172782,RIJC327
284,187,0.331748594,-3.722819942,1.061347713,P2,1,0.879316688,RIJC327
285,187,0.188140875,-0.314340569,0.576201776,P3,1,0.959532402,RIJC327
286,188,0.343134,-3.619092147,1.087537162,P2,1,0.895945934,RIJC059
287,188,0.222765174,-0.645307911,0.686624613,P1,1,0.947323621,RIJC059
288,188,0.304078964,-2.733687843,0.933860662,P3,1,0.954225678,RIJC059
289,189,0.300903625,-2.316376401,0.914174653,P2,1,0.975077194,RIJC363
290,189,0.247294463,-1.492185739,0.846575513,P3,1,0.767962278,RIJC363
291,189,0.114685423,0.769425866,0.352763694,P1,1,0.951242366,RIJC363
292,19,0.229891895,-2.062149308,0.691042593,P2,1,0.996047835,RIJC254
293,19,0.402628382,-5.19491903,1.270750985,P1,1,0.903504607,RIJC254
294,19,0.259526457,-3.539288951,0.779130304,P3,1,0.998586275,RIJC254
295,190,0.516054039,-7.741480434,1.592536001,P2,1,0.94504906,TM5
296,190,0.262884968,-3.056751385,0.791409572,P3,1,0.993050691,TM5
297,190,0.308427359,-3.285842284,0.925822491,P1,1,0.998832917,TM5
298,191,0.300226139,-3.25798158,0.927800068,P2,1,0.942390094,RIJC324
299,191,0.275655085,-2.650779114,0.827604285,P1,1,0.998456307,RIJC324
300,191,0.274358769,-2.627509324,0.823215478,P3,1,0.999661916,RIJC324
301,192,0.366256494,-3.652997177,1.099868076,P2,1,0.998003312,RIJC316
302,192,0.505553212,-6.333935456,1.533085101,P3,1,0.9786868,RIJC316
303,192,0.421968099,-4.655270483,1.266429586,P1,1,0.999170615,RIJC316
304,193,0.274443281,-2.388452505,0.824124026,P2,1,0.998073588,RIJC264
305,193,0.361993701,-4.263251275,1.100534352,P1,1,0.973727263,RIJC264
306,193,0.281427176,-1.390884561,0.844356176,P3,1,0.999823194,RIJC264
307,194,0.193993068,-0.987944507,0.589971128,P2,1,0.973090911,RIJC247
308,194,0.091834675,1.361021067,0.348566549,P3,1,0.624718673,RIJC247
309,194,0.128477154,0.165080945,0.393669693,P1,1,0.958584412,RIJC247
310,195,0.265573804,-2.093311463,0.796787631,P2,1,0.999833794,RIJC139
311,195,0.279641067,-2.53860253,0.839707069,P1,1,0.998133866,RIJC139
312,195,0.296515427,-2.483430914,0.892841772,P3,1,0.992631599,RIJC139
313,196,0.304756675,-2.193986627,0.914272226,P2,1,0.999995186,TM6
314,196,0.350481827,-3.279623901,1.058873298,P3,1,0.986019547,TM6
315,196,0.322989679,-2.837876272,0.983189321,P1,1,0.971282342,TM6
316,197,0.222347085,0.187598677,0.675429391,P2,1,0.975316298,RIJC020
317,197,0.36308961,-2.870324665,1.159765855,P1,1,0.882123753,RIJC020
318,197,0.315542141,-3.472560781,0.964779696,P3,1,0.962722083,RIJC020
319,198,0.397301108,-3.446534948,1.207659768,P2,1,0.974076051,RIJC220
320,198,0.409634622,-3.84374224,1.245335487,P3,1,0.97378503,RIJC220
321,198,0.403708109,-3.50808746,1.217600445,P1,1,0.989390777,RIJC220
322,199,-0.086619525,6.188105711,0.531240333,P3,1,0.239272077,RIJC335
323,199,0.110319821,0.898661743,0.335050421,P2,1,0.975729129,RIJC335
324,199,0.153196558,-0.094189106,0.507269448,P1,1,0.820848697,RIJC335
325,2,0.188126833,-0.08116801,0.591617357,P1,1,0.910043569,RIJC223
326,2,0.193401668,-0.183363853,0.581645669,P2,1,0.995052378,RIJC223
327,2,0.290415962,-2.71411309,0.879959419,P3,1,0.980298153,RIJC223
328,20,0.183849261,-0.334485701,0.594930992,P1,1,0.859474704,RIJC059
329,20,0.339869948,-3.023153493,1.021844098,P3,1,0.995631794,RIJC059
330,20,0.326989373,-3.249449754,0.981005645,P2,1,0.999923495,RIJC059
331,200,0.327446029,-2.762479654,0.986023552,P1,1,0.992538557,RIJC243
332,200,0.381303841,-3.679819967,1.14644182,P3,1,0.995590698,RIJC243
333,200,0.316890418,-3.175124559,0.964114753,P2,1,0.972306676,RIJC243
334,201,0.407785307,-5.655771937,1.280972516,P1,1,0.91206551,RIJC015
335,201,0.259491542,-2.40066968,0.790288107,P2,1,0.970326809,RIJC015
336,201,0.26389284,-2.775044939,0.799696223,P3,1,0.98004865,RIJC015
337,202,0.212217515,-1.042870989,0.656044407,P1,1,0.941756193,RIJC223
338,202,0.221751524,-1.397194362,0.69148094,P2,1,0.925582874,RIJC223
339,202,0.2873875,-2.142720315,0.897822791,P3,1,0.922140309,RIJC223
340,203,0.23065895,-1.92302963,0.696201445,P1,1,0.987900689,RIJC361
341,203,0.286664995,-2.977513124,0.860559307,P3,1,0.998688903,RIJC361
342,203,0.176146213,-1.237038296,0.528535228,P2,1,0.999634531,RIJC361
343,204,0.27872132,-2.863950872,0.851245535,P1,1,0.964879757,RIJC355
344,204,0.157076383,-0.319078982,0.543700275,P3,1,0.751182029,RIJC355
345,204,0.314777531,-3.641564102,0.948281933,P2,1,0.991687881,RIJC355
346,205,0.201834524,-0.980876354,0.626764611,P1,1,0.933306919,JAM
347,205,0.237513594,-1.952714814,0.7200247,P2,1,0.979320089,JAM
348,205,0.307462889,-2.874406536,0.92874304,P3,1,0.986363,JAM
349,206,0.256972731,-3.655672206,0.798479978,P1,1,0.932155843,RIJC019
350,206,0.180519943,-1.03316138,0.552043492,P2,1,0.962379349,RIJC019
351,206,0.320552761,-4.99176783,0.962931429,P3,1,0.997357433,RIJC019
